Username,Comment
@vasudevchaturvedi9321,"I've always wanted to improve my English skills, and this challenge seems like the perfect opportunity to do so. Thanks for sharing!"""
@mobinnath,Nice video ❤❤❤
@vasudevchaturvedi9321,"""Learning a new language can be a daunting task, but with dedication and this challenge, it's definitely achievable!"""
@vasudevchaturvedi9321,"""This 90-day English learning challenge is such a fantastic idea! Count me in – let's improve our language skills together! 💪📚"""
@learnwithme_Aashi,"English is easy to understand but hard to speak, I tried so many times to speak with someone in English 😢 but no one was here to help me with the real-life conversation, everyone laughed at me 😢"
@unbeatable5269,Legends know it's reuploaded.
@krishpandeyji3771,Really very helpful for us... and very interesting video. Thank You Very Much...
@piyushfacts312,Sir ek prompt engineering pr full video banaiye or shikaiye please 🙏
@helpinghandsforcommerce8828,❤nd respect 4 u sir/mentor
@thed.m.3305,Thank you sir
@Patidar771,"Sir itna English aata to fir sikhne ki kya jarurt he, hame zero se sikhna he to uspe ek video banao"
@fishhabits,Really great video ❤
@ukuk-wq8ln,Wonderful video sir.
@poneyoutubepawan9168,"Apart from Chat Gpt, what other free platforms are there through which I can improve my English?  Please sir reply.❤"
@Longterm2,Ab to Mai bhi English bolunga accept challenge myself ❤ attendance here who accept this challenge 👍
@touch.my.soul._,Like Here for the Warikoo Channel..! 📶
@QuickFlicks-tu1vs,I Talk To My Self 😏
@sravankumarmorugu5133,Sir Apka Typing Speed Kitna hein? Kam se Kam 60WPM hoga
@NISCHALSRIVASTAVA.,"Sir i am stuck in my life 
Its been 2 years i passed class 12th ,i am pursuing bsc but without my interest, for family i am just doing it , many of my friends prepared for neet and many of them cleared it and many goes in different cities after fail in neet.


I feel so lonely at this time, dont knoe ,what's happening with me ...
I have no options,  either i end my bsc or prepare for something or anythings else"
@touch.my.soul._,📶🔥💯 1ST 💯🔥📶
@poneyoutubepawan9168,Which word from which dictionary in the world says 'Thanks to you for this video' thanku so much for this topic viedo''?❤❤❤😢😢😢😢😢😭😭😭 muje bhut jayada need thi ese viedo ke tanku so much dear 💕god ❤❤
@loveparmar1284,"Duniya me ek hi section esa he jaha bahot sare log ""first"" aate he , comment section 😂"
@shivamsagar1208,Wow great awesome.....
@anilkumarhardiya,Good evening sir
@rishisingh9299,Thank you for making this video😊
@Pp-pj9yw,Ohho ye to Mera hi first comment hai 😅
@srijanclassesunnao,Ankur sir I am your big fan
@vikrambishnoi1712,First comment
@deepakkumar3447,First comment 💬 plss 📍 pin krdo😅
@vimleshvlogs50k99,First view
@Dailymemesoffical,Warikoo fans attendance here ❤❤
@anshugautam1735,❤
@hinduism985,First gang
@warikoo,"My Money Apps: https://bit.ly/3Zg56eR

My bestselling books:
‘GET EPIC SHIT DONE’: https://ankurwarikoo.com/getepicshitdone 
‘Do Epic Shit’: https://ankurwarikoo.com/doepicshit 

My gear for shooting this video: 
🎥 Sony a7III camera: https://bit.ly/3M42wAV
🎬 Sony FE 24-70 f2.8 Lens: https://bit.ly/3KCCiF0
🎙 Shure SM7B Microphone: https://bit.ly/3O1NAVA
🔆 Fill Light 60W: https://bit.ly/37aJolP
💡 Key Light 150W: https://bit.ly/3O9nyjs
📽 Benro IT15 Tripod for Sony a7III camera: https://bit.ly/3O4PvJ1

Useful links:
20 books for your 20s: https://bit.ly/WarikooBooks
20 online courses for your 20s: https://bit.ly/WarikooOnlineCourses
Gadgets that I use: https://bit.ly/WarikooGadgets

The above links are on Amazon.
If you buy any of these using the above links, I stand to make affiliate income from it. 100% of this income is contributed towards the education of kids who cannot afford it. In 2021 we contributed 38L and in 2022 we contributed 53L."
@dex0310,1st
@kavyayadav1245,1st
